name,type,capacity,length
Quad Express,CHAIRLIFT_DETACHABLE,4,1029
Captain's Express,CHAIRLIFT_DETACHABLE,4,805
Pretty Valley Double,CHAIRLIFT_FIXED_GRIP,2,600
